20090103T,49.999990723045,49.999990723045,49.999990723045,49.999990723045,0
20090104T,49.999989747379,49.999989747379,49.999989747379,49.999989747379,0
20090105T,49.999988669102,49.999988669102,49.999988669102,49.999988669102,0
20090106T,49.999987477421,49.999987477421,49.999987477421,49.999987477421,0
20090107T,49.999986160411,49.999986160411,49.999986160411,49.999986160411,0
20090108T,49.999984704889,49.999984704889,49.999984704889,49.999984704889,0
20090109T,749.99985321892,749.99985321892,749.99985321892,749.99985321892,0
20090110T,3799.9992845712,3799.9992845712,3799.9992845712,3799.9992845712,0
20090111T,8449.9984158444,8449.9984158444,8449.9984158444,8449.9984158444,0
20090112T,13149.997308556,13149.997308556,13149.997308556,13149.997308556,0
20090113T,19299.996025507,19299.996025507,19299.996025507,19299.996025507,0
20090114T,25749.99419534,25749.99419534,25749.99419534,25749.99419534,0
20090115T,32049.992719105,32049.992719105,32049.992719105,32049.992719105,0
20090116T,37449.990672185,37449.990672185,37449.990672185,37449.990672185,0
20090117T,42899.98925602,42899.98925602,42899.98925602,42899.98925602,0
20090118T,48249.986747255,48249.986747255,48249.986747255,48249.986747255,0
20090119T,53999.985167629,53999.985167629,53999.985167629,53999.985167629,0
20090120T,59699.982041825,59699.982041825,59699.982041825,59699.982041825,0
20090121T,64799.978695091,64799.978695091,64799.978695091,64799.978695091,0
20090122T,69349.976909551,69349.976909551,69349.976909551,69349.976909551,0
20090123T,73549.973179671,73549.973179671,73549.973179671,73549.973179671,0
20090124T,83599.969289723,83599.969289723,83599.969289723,83599.969289723,0
20090125T,93149.965368993,93149.965368993,93149.965368993,93149.965368993,0
20090126T,97949.963196069,97949.963196069,97949.963196069,97949.963196069,0
20090127T,102799.95745021,102799.95745021,102799.95745021,102799.95745021,0
20090128T,108399.95089639,108399.95089639,108399.95089639,108399.95089639,0
20090129T,114449.94788438,114449.94788438,114449.94788438,114449.94788438,0
20090130T,120299.93990995,120299.93990995,120299.93990995,120299.93990995,0
20090131T,127199.93642418,127199.93642418,127199.93642418,127199.93642418,0
20090201T,132849.92730802,132849.92730802,132849.92730802,132849.92730802,0
20090202T,139249.92322342,139249.92322342,139249.92322342,139249.92322342,0
20090203T,146199.91194026,146199.91194026,146199.91194026,146199.91194026,0
20090204T,152149.90724237,152149.90724237,152149.90724237,152149.90724237,0
20090205T,158449.89440952,158449.89440952,158449.89440952,158449.89440952,0
20090206T,164549.88891955,164549.88891955,164549.88891955,164549.88891955,0
20090207T,170999.87413147,170999.87413147,170999.87413147,170999.87413147,0
20090208T,177599.85778685,177599.85778685,177599.85778685,177599.85778685,0
20090209T,184299.85234325,184299.85234325,184299.85234325,184299.85234325,0
20090210T,190299.8324672,190299.8324672,190299.8324672,190299.8324672,0
20090211T,196949.82454811,196949.82454811,196949.82454811,196949.82454811,0
20090212T,202899.80198583,202899.80198583,202899.80198583,202899.80198583,0
20090213T,209099.79322821,209099.79322821,209099.79322821,209099.79322821,0
20090214T,215899.76615575,215899.76615575,215899.76615575,215899.76615575,0
20090215T,222299.75595286,222299.75595286,222299.75595286,222299.75595286,0
20090216T,228399.72587624,228399.72587624,228399.72587624,228399.72587624,0
20090217T,234249.71438381,234249.71438381,234249.71438381,234249.71438381,0
20090218T,240149.67786366,240149.67786366,240149.67786366,240149.67786366,0
20090219T,246349.66528786,246349.66528786,246349.66528786,246349.66528786,0
20090220T,252449.62366276,252449.62366276,252449.62366276,252449.62366276,0
20090221T,258149.60778963,258149.60778963,258149.60778963,258149.60778963,0
20090222T,264199.55978682,264199.55978682,264199.55978682,264199.55978682,0
20090223T,269599.5417409,269599.5417409,269599.5417409,269599.5417409,0
20090224T,274899.48591333,274899.48591333,274899.48591333,274899.48591333,0
20090225T,280149.46616651,280149.46616651,280149.46616651,280149.46616651,0
20090226T,285499.40081941,285499.40081941,285499.40081941,285499.40081941,0
20090227T,291249.38008178,291249.38008178,291249.38008178,291249.38008178,0
20090228T,296199.30546643,296199.30546643,296199.30546643,296199.30546643,0
20090301T,301449.27838122,301449.27838122,301449.27838122,301449.27838122,0
20090302T,306849.19141802,306849.19141802,306849.19141802,306849.19141802,0
20090303T,312099.15777637,312099.15777637,312099.15777637,312099.15777637,0
20090304T,317299.06137369,317299.06137369,317299.06137369,317299.06137369,0
20090305T,322899.02343831,322899.02343831,322899.02343831,322899.02343831,0
20090306T,328748.90751708,328748.90751708,328748.90751708,328748.90751708,0
