20090103T,533688.04214154,533688.04214154,533688.04214154,533688.04214154,0
20090104T,482900.91951102,482900.91951102,482900.91951102,482900.91951102,0
20090105T,436946.83060054,436946.83060054,436946.83060054,436946.83060054,0
20090106T,395365.85144259,395365.85144259,395365.85144259,395365.85144259,0
20090107T,357741.8256219,357741.8256219,357741.8256219,357741.8256219,0
20090108T,323698.19924219,323698.19924219,323698.19924219,323698.19924219,0
20090109T,505957.56951022,505957.56951022,505957.56951022,505957.56951022,0
20090110T,525944.72934105,525944.72934105,525944.72934105,525944.72934105,0
20090111T,528179.79624876,528179.79624876,528179.79624876,528179.79624876,0
20090112T,350783.03265575,350783.03265575,350783.03265575,350783.03265575,0
20090113T,480837.65220777,480837.65220777,480837.65220777,480837.65220777,0
20090114T,418244.10662568,418244.10662568,418244.10662568,418244.10662568,0
20090115T,298533.4896886,298533.4896886,298533.4896886,298533.4896886,0
20090116T,354670.32132003,354670.32132003,354670.32132003,354670.32132003,0
20090117T,395380.28537578,395380.28537578,395380.28537578,395380.28537578,0
20090118T,337870.75073679,337870.75073679,337870.75073679,337870.75073679,0
20090119T,255999.53115905,255999.53115905,255999.53115905,255999.53115905,0
20090120T,284633.26251289,284633.26251289,284633.26251289,284633.26251289,0
20090121T,291787.02308018,291787.02308018,291787.02308018,291787.02308018,0
20090122T,254089.33640963,254089.33640963,254089.33640963,254089.33640963,0
20090123T,237988.16957424,237988.16957424,237988.16957424,237988.16957424,0
20090124T,236991.41197233,236991.41197233,236991.41197233,236991.41197233,0
20090125T,263455.02805404,263455.02805404,263455.02805404,263455.02805404,0
20090126T,209189.85247391,209189.85247391,209189.85247391,209189.85247391,0
20090127T,232181.06602554,232181.06602554,232181.06602554,232181.06602554,0
20090128T,218594.25745975,218594.25745975,218594.25745975,218594.25745975,0
20090129T,194429.97272213,194429.97272213,194429.97272213,194429.97272213,0
20090130T,198237.57353154,198237.57353154,198237.57353154,198237.57353154,0
20090131T,166656.83066751,166656.83066751,166656.83066751,166656.83066751,0
20090201T,178215.07042756,178215.07042756,178215.07042756,178215.07042756,0
20090202T,178290.50528736,178290.50528736,178290.50528736,178290.50528736,0
20090203T,147714.54161336,147714.54161336,147714.54161336,147714.54161336,0
20090204T,162422.13583542,162422.13583542,162422.13583542,162422.13583542,0
20090205T,148590.27726506,148590.27726506,148590.27726506,148590.27726506,0
20090206T,146684.14463156,146684.14463156,146684.14463156,146684.14463156,0
20090207T,115488.91064731,115488.91064731,115488.91064731,115488.91064731,0
20090208T,109595.71528591,109595.71528591,109595.71528591,109595.71528591,0
20090209T,93794.466000722,93794.466000722,93794.466000722,93794.466000722,0
20090210T,112476.52035056,112476.52035056,112476.52035056,112476.52035056,0
20090211T,104882.93160152,104882.93160152,104882.93160152,104882.93160152,0
20090212T,101463.23100751,101463.23100751,101463.23100751,101463.23100751,0
20090213T,100134.94509858,100134.94509858,100134.94509858,100134.94509858,0
20090214T,91421.610445502,91421.610445502,91421.610445502,91421.610445502,0
20090215T,82820.663207724,82820.663207724,82820.663207724,82820.663207724,0
20090216T,71559.533244892,71559.533244892,71559.533244892,71559.533244892,0
20090217T,81211.904367453,81211.904367453,81211.904367453,81211.904367453,0
20090218T,73818.597283559,73818.597283559,73818.597283559,73818.597283559,0
20090219T,68099.044575595,68099.044575595,68099.044575595,68099.044575595,0
20090220T,66423.398957905,66423.398957905,66423.398957905,66423.398957905,0
20090221T,65174.240766907,65174.240766907,65174.240766907,65174.240766907,0
20090222T,54657.799492505,54657.799492505,54657.799492505,54657.799492505,0
20090223T,58254.799471993,58254.799471993,58254.799471993,58254.799471993,0
20090224T,52949.43338907,52949.43338907,52949.43338907,52949.43338907,0
20090225T,51964.617460152,51964.617460152,51964.617460152,51964.617460152,0
20090226T,47181.451888956,47181.451888956,47181.451888956,47181.451888956,0
20090227T,40714.362194152,40714.362194152,40714.362194152,40714.362194152,0
20090228T,41221.511885318,41221.511885318,41221.511885318,41221.511885318,0
20090301T,41364.748090638,41364.748090638,41364.748090638,41364.748090638,0
20090302T,37577.249780604,37577.249780604,37577.249780604,37577.249780604,0
20090303T,35743.644427195,35743.644427195,35743.644427195,35743.644427195,0
20090304T,30809.967247732,30809.967247732,30809.967247732,30809.967247732,0
20090305T,31921.749846763,31921.749846763,31921.749846763,31921.749846763,0
20090306T,29797.102061052,29797.102061052,29797.102061052,29797.102061052,0
20090307T,29163.606447851,29163.606447851,29163.606447851,29163.606447851,0
20090308T,24094.589794252,24094.589794252,24094.589794252,24094.589794252,0
20090309T,25841.282826898,25841.282826898,25841.282826898,25841.282826898,0
20090310T,23562.594824538,23562.594824538,23562.594824538,23562.594824538,0
20090311T,22950.943805138,22950.943805138,22950.943805138,22950.943805138,0
20090312T,20793.21890359,20793.21890359,20793.21890359,20793.21890359,0
20090313T,19525.400693352,19525.400693352,19525.400693352,19525.400693352,0
20090314T,18633.965600789,18633.965600789,18633.965600789,18633.965600789,0
20090315T,18181.705195247,18181.705195247,18181.705195247,18181.705195247,0
20090316T,14649.137490295,14649.137490295,14649.137490295,14649.137490295,0
20090317T,16292.080117526,16292.080117526,16292.080117526,16292.080117526,0
20090318T,14308.57087742,14308.57087742,14308.57087742,14308.57087742,0
20090319T,14412.804105387,14412.804105387,14412.804105387,14412.804105387,0
20090320T,12770.408776292,12770.408776292,12770.408776292,12770.408776292,0
20090321T,11988.942664561,11988.942664561,11988.942664561,11988.942664561,0
20090322T,11324.392300484,11324.392300484,11324.392300484,11324.392300484,0
20090323T,10612.03556079,10612.03556079,10612.03556079,10612.03556079,0
20090324T,10244.225633005,10244.225633005,10244.225633005,10244.225633005,0
20090325T,9359.6614469435,9359.6614469435,9359.6614469435,9359.6614469435,0
20090326T,8488.3152783099,8488.3152783099,8488.3152783099,8488.3152783099,0
20090327T,8260.2659197267,8260.2659197267,8260.2659197267,8260.2659197267,0
20090328T,7640.3997224011,7640.3997224011,7640.3997224011,7640.3997224011,0
20090329T,7294.7858495576,7294.7858495576,7294.7858495576,7294.7858495576,0
20090330T,7053.4955706689,7053.4955706689,7053.4955706689,7053.4955706689,0
20090331T,5993.4437893888,5993.4437893888,5993.4437893888,5993.4437893888,0
20090401T,6196.478750278,6196.478750278,6196.478750278,6196.478750278,0
20090402T,5642.9909265777,5642.9909265777,5642.9909265777,5642.9909265777,0
20090403T,5416.5198091085,5416.5198091085,5416.5198091085,5416.5198091085,0
20090404T,4932.4584516929,4932.4584516929,4932.4584516929,4932.4584516929,0
20090405T,4571.1275014243,4571.1275014243,4571.1275014243,4571.1275014243,0
20090406T,4307.8970820688,4307.8970820688,4307.8970820688,4307.8970820688,0
20090407T,4112.2745869664,4112.2745869664,4112.2745869664,4112.2745869664,0
20090408T,3749.302856289,3749.302856289,3749.302856289,3749.302856289,0
20090409T,3574.1290803978,3574.1290803978,3574.1290803978,3574.1290803978,0
20090410T,3253.4059192261,3253.4059192261,3253.4059192261,3253.4059192261,0
20090411T,3062.5774249144,3062.5774249144,3062.5774249144,3062.5774249144,0
20090412T,2726.0389299452,2726.0389299452,2726.0389299452,2726.0389299452,0
20090413T,2686.3464634883,2686.3464634883,2686.3464634883,2686.3464634883,0
20090414T,2459.8301201106,2459.8301201106,2459.8301201106,2459.8301201106,0
20090415T,2336.1601454582,2336.1601454582,2336.1601454582,2336.1601454582,0
20090416T,2129.6655634357,2129.6655634357,2129.6655634357,2129.6655634357,0
20090417T,2023.7675001549,2023.7675001549,2023.7675001549,2023.7675001549,0
20090418T,1833.2635576704,1833.2635576704,1833.2635576704,1833.2635576704,0
20090419T,1723.9200914836,1723.9200914836,1723.9200914836,1723.9200914836,0
20090420T,1293.4697688476,1293.4697688476,1293.4697688476,1293.4697688476,0
20090421T,1524.6795935734,1524.6795935734,1524.6795935734,1524.6795935734,0
20090422T,1393.4504969631,1393.4504969631,1393.4504969631,1393.4504969631,0
20090423T,1311.7870875017,1311.7870875017,1311.7870875017,1311.7870875017,0
20090424T,1194.9081332104,1194.9081332104,1194.9081332104,1194.9081332104,0
20090425T,1125.9879698254,1125.9879698254,1125.9879698254,1125.9879698254,0
20090426T,1000.4496913517,1000.4496913517,1000.4496913517,1000.4496913517,0
20090427T,963.96754747475,963.96754747475,963.96754747475,963.96754747475,0
20090428T,879.16151023034,879.16151023034,879.16151023034,879.16151023034,0
20090429T,801.4973222346,801.4973222346,801.4973222346,801.4973222346,0
20090430T,756.59056150273,756.59056150273,756.59056150273,756.59056150273,0
20090501T,710.01732576693,710.01732576693,710.01732576693,710.01732576693,0
20090502T,632.66859025112,632.66859025112,632.66859025112,632.66859025112,0
20090503T,604.31521949769,604.31521949769,604.31521949769,604.31521949769,0
20090504T,529.40384145338,529.40384145338,529.40384145338,529.40384145338,0
