20090103T,160106.41264246,160106.41264246,160106.41264246,160106.41264246,0
20090104T,144870.27585331,144870.27585331,144870.27585331,144870.27585331,0
20090105T,131084.04918016,131084.04918016,131084.04918016,131084.04918016,0
20090106T,118609.75543278,118609.75543278,118609.75543278,118609.75543278,0
20090107T,107322.54768657,107322.54768657,107322.54768657,107322.54768657,0
20090108T,97109.459772657,97109.459772657,97109.459772657,97109.459772657,0
20090109T,151787.27085307,151787.27085307,151787.27085307,151787.27085307,0
20090110T,157783.41880231,157783.41880231,157783.41880231,157783.41880231,0
20090111T,158453.93887463,158453.93887463,158453.93887463,158453.93887463,0
20090112T,105234.90979672,105234.90979672,105234.90979672,105234.90979672,0
20090113T,144251.29566233,144251.29566233,144251.29566233,144251.29566233,0
20090114T,125473.23198771,125473.23198771,125473.23198771,125473.23198771,0
20090115T,89560.046906579,89560.046906579,89560.046906579,89560.046906579,0
20090116T,106401.09639601,106401.09639601,106401.09639601,106401.09639601,0
20090117T,118614.08561273,118614.08561273,118614.08561273,118614.08561273,0
20090118T,101361.22522104,101361.22522104,101361.22522104,101361.22522104,0
20090119T,76799.859347714,76799.859347714,76799.859347714,76799.859347714,0
20090120T,85389.978753868,85389.978753868,85389.978753868,85389.978753868,0
20090121T,87536.106924053,87536.106924053,87536.106924053,87536.106924053,0
20090122T,76226.80092289,76226.80092289,76226.80092289,76226.80092289,0
20090123T,71396.450872273,71396.450872273,71396.450872273,71396.450872273,0
20090124T,71097.423591699,71097.423591699,71097.423591699,71097.423591699,0
20090125T,79036.508416213,79036.508416213,79036.508416213,79036.508416213,0
20090126T,62756.955742173,62756.955742173,62756.955742173,62756.955742173,0
20090127T,69654.319807663,69654.319807663,69654.319807663,69654.319807663,0
20090128T,65578.277237926,65578.277237926,65578.277237926,65578.277237926,0
20090129T,58328.991816639,58328.991816639,58328.991816639,58328.991816639,0
20090130T,59471.272059461,59471.272059461,59471.272059461,59471.272059461,0
20090131T,49997.049200252,49997.049200252,49997.049200252,49997.049200252,0
20090201T,53464.521128267,53464.521128267,53464.521128267,53464.521128267,0
20090202T,53487.151586209,53487.151586209,53487.151586209,53487.151586209,0
20090203T,44314.362484008,44314.362484008,44314.362484008,44314.362484008,0
20090204T,48726.640750627,48726.640750627,48726.640750627,48726.640750627,0
20090205T,44577.083179519,44577.083179519,44577.083179519,44577.083179519,0
20090206T,44005.243389469,44005.243389469,44005.243389469,44005.243389469,0
20090207T,34646.673194193,34646.673194193,34646.673194193,34646.673194193,0
20090208T,32878.714585773,32878.714585773,32878.714585773,32878.714585773,0
20090209T,28138.339800217,28138.339800217,28138.339800217,28138.339800217,0
20090210T,33742.956105168,33742.956105168,33742.956105168,33742.956105168,0
20090211T,31464.879480455,31464.879480455,31464.879480455,31464.879480455,0
20090212T,30438.969302253,30438.969302253,30438.969302253,30438.969302253,0
20090213T,30040.483529574,30040.483529574,30040.483529574,30040.483529574,0
20090214T,27426.48313365,27426.48313365,27426.48313365,27426.48313365,0
20090215T,24846.198962317,24846.198962317,24846.198962317,24846.198962317,0
20090216T,21467.859973467,21467.859973467,21467.859973467,21467.859973467,0
20090217T,24363.571310236,24363.571310236,24363.571310236,24363.571310236,0
20090218T,22145.579185068,22145.579185068,22145.579185068,22145.579185068,0
20090219T,20429.713372678,20429.713372678,20429.713372678,20429.713372678,0
20090220T,19927.019687372,19927.019687372,19927.019687372,19927.019687372,0
20090221T,19552.272230072,19552.272230072,19552.272230072,19552.272230072,0
20090222T,16397.339847752,16397.339847752,16397.339847752,16397.339847752,0
20090223T,17476.439841598,17476.439841598,17476.439841598,17476.439841598,0
20090224T,15884.830016721,15884.830016721,15884.830016721,15884.830016721,0
20090225T,15589.385238046,15589.385238046,15589.385238046,15589.385238046,0
20090226T,14154.435566687,14154.435566687,14154.435566687,14154.435566687,0
20090227T,12214.308658246,12214.308658246,12214.308658246,12214.308658246,0
20090228T,12366.453565595,12366.453565595,12366.453565595,12366.453565595,0
20090301T,12409.424427191,12409.424427191,12409.424427191,12409.424427191,0
20090302T,11273.174934181,11273.174934181,11273.174934181,11273.174934181,0
20090303T,10723.093328159,10723.093328159,10723.093328159,10723.093328159,0
20090304T,9242.9901743196,9242.9901743196,9242.9901743196,9242.9901743196,0
20090305T,9576.5249540288,9576.5249540288,9576.5249540288,9576.5249540288,0
20090306T,8939.1306183157,8939.1306183157,8939.1306183157,8939.1306183157,0
20090307T,8749.0819343554,8749.0819343554,8749.0819343554,8749.0819343554,0
20090308T,7228.3769382755,7228.3769382755,7228.3769382755,7228.3769382755,0
20090309T,7752.3848480694,7752.3848480694,7752.3848480694,7752.3848480694,0
20090310T,7068.7784473614,7068.7784473614,7068.7784473614,7068.7784473614,0
20090311T,6885.2831415415,6885.2831415415,6885.2831415415,6885.2831415415,0
20090312T,6237.965671077,6237.965671077,6237.965671077,6237.965671077,0
20090313T,5857.6202080057,5857.6202080057,5857.6202080057,5857.6202080057,0
20090314T,5590.1896802368,5590.1896802368,5590.1896802368,5590.1896802368,0
20090315T,5454.5115585742,5454.5115585742,5454.5115585742,5454.5115585742,0
20090316T,4394.7412470886,4394.7412470886,4394.7412470886,4394.7412470886,0
20090317T,4887.6240352578,4887.6240352578,4887.6240352578,4887.6240352578,0
20090318T,4292.571263226,4292.571263226,4292.571263226,4292.571263226,0
20090319T,4323.841231616,4323.841231616,4323.841231616,4323.841231616,0
20090320T,3831.1226328876,3831.1226328876,3831.1226328876,3831.1226328876,0
20090321T,3596.6827993683,3596.6827993683,3596.6827993683,3596.6827993683,0
